message,severity,attributes,tags,timestamp
"	    code        TEXT NOT NULL UNIQUE,",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.552620802Z
	    FOR EACH ROW EXECUTE FUNCTION public.set_updated_at();,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554104263Z
	CREATE TRIGGER trg_roles_updated_at BEFORE UPDATE ON roles,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554109803Z
	    FOR EACH ROW EXECUTE FUNCTION public.set_updated_at();,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554116583Z
	CREATE TRIGGER trg_teams_updated_at BEFORE UPDATE ON teams,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554120703Z
	    FOR EACH ROW EXECUTE FUNCTION public.set_updated_at();,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554125203Z
	,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554131463Z
	);,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554132703Z
"	GRANT SELECT, INSERT, UPDATE, DELETE ON ALL TABLES IN SCHEMA public TO PUBLIC;",error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554137163Z
	,error,"{""level"":""error""}","{""project"":""e40824fb-b871-4f4a-bbd4-dc97257175b5"",""environment"":""71fe69c0-317e-4401-83e8-167236953714"",""service"":""98ac865d-3446-4204-8b6f-837e63498101"",""deployment"":""dcdde22b-483f-4551-bfa8-a8ad23f2f868"",""replica"":""d74614c5-3877-4710-a4a1-8f41af3269ac""}",2026-07-28T14:54:09.554144072Z
